,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,12379.882360000001,,11137.64,,11729.2,,10938.0,,11570.0,,13540.0,12950.0,,13614.89
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,18047.934672000003,,15659.12,,20375.44,,18365.84,,16857.12,,19782.0,16609.0,,16749.09
СВИНИНА (кроме бескостного мяса),,,,11620.75513,,11420.04,,11012.72,,11388.0,,10188.19,,12150.0,11976.0,,12467.76
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,19147.895256000003,,15827.98,,20994.56,,18933.12,,18611.67,,20829.0,18578.0,,18493.0
ФАРШ МЯСНОЙ (без добавок),,,,14400.655356000001,,13483.94,,13836.72,,14099.64,,15216.11,,15009.0,15182.0,,13049.13
МЯСО ПТИЦЫ,,,,8113.0267220000005,,7924.14,,8372.4,,7914.34,,8057.25,,8013.0,8256.0,,8425.51
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,10504.666214000003,,10885.82,,10633.92,,9673.9,,10727.59,,10094.0,11070.0,,10997.86
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,5914.8693060000005,,5739.48,,5259.12,,6394.64,,5909.53,,5737.0,6589.0,,5738.5
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,1100.2805060000003,,1085.86,,1086.44,,1102.86,,988.37,,1284.0,994.0,,922.78
ПЕЛЬМЕНИ МЯСНЫЕ,,,,9672.156402000002,,8547.24,,8397.52,,10058.94,,9193.6,,10654.0,10283.0,,9097.77
САЛО,,,,12835.190116,,9625.38,,12877.28,,12381.18,,12183.56,,14931.0,13027.0,,12382.31
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,12693.341450000002,,12772.18,,13122.2,,13168.84,,12460.96,,12181.0,12544.0,,13252.13
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,9624.336772000002,,9533.6,,9829.04,,10668.7,,9263.49,,8646.0,10714.0,,9427.19
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,7881.373738,,8710.36,,9121.92,,7015.34,,7918.5,,6670.0,8767.0,,8371.12
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,19250.746636000003,,16758.38,,18746.64,,19942.1,,18320.26,,20877.0,18288.0,,20195.97
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,31267.030862000003,,27705.56,,30891.32,,30266.02,,30514.9,,35473.0,29838.0,,29453.16
"ПАШТЕТ, ЗЕЛЬЦ",,,,5766.090776,,5983.56,,5449.04,,5559.72,,5179.72,,6240.0,6078.0,,5045.32
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,3627.297206,,3771.68,,3487.96,,4021.12,,2985.53,,3388.0,4200.0,,3523.64
СОСИСКИ,,,,12526.870488,,11611.66,,11725.44,,12952.64,,12275.49,,13136.0,12101.0,,13343.44
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,18746.405138000006,,19678.68,,21458.0,,16281.24,,20843.77,,17645.0,16721.0,,21398.91
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,5952.808164000001,,5613.12,,5457.44,,6312.52,,5734.56,,6395.0,6052.0,,5402.98
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,5523.404534,,5292.1,,4952.84,,5577.94,,5817.75,,5797.0,5563.0,,5332.8
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,6578.85688,,6454.8,,6537.76,,6585.88,,6681.56,,6664.0,6442.0,,6647.39
РЫБА ЖИВАЯ,,,,6117.977764,,5194.56,,6293.12,,7082.1,,6125.81,,5891.0,6349.0,,6037.33
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,8963.451632000002,,6732.34,,8259.52,,7777.96,,9120.47,,10311.0,9389.0,,9897.63
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,11880.983796,,10708.24,,9494.92,,9623.76,,10590.54,,16278.0,10607.0,,10893.28
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,22059.051574,,21228.86,,25923.68,,24940.8,,22551.44,,18749.0,25480.0,,17859.63
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,27328.990514000005,,26511.12,,26103.36,,23244.76,,25946.65,,29415.0,22775.0,,37930.26
ИКРА ЛОСОСЕВЫХ РЫБ,,,,234927.64663200002,,196992.52,,218989.04,,231613.74,,221924.79,,256771.0,251941.0,,237430.97
ПРОЧИЕ ВИДЫ ИКРЫ РЫБ (за условную банку весом  200 г),,,,5574.666644,,6628.12,,4977.16,,6221.32,,4576.98,,5920.0,5047.0,,4968.12
СЕЛЬДЬ СОЛЕНАЯ,,,,7379.442424000001,,8183.34,,6619.52,,6952.16,,7278.15,,7664.0,7367.0,,7198.21
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,11829.477340000003,,11310.38,,12602.08,,11603.46,,9907.98,,12685.0,11889.0,,11548.18
КОНСЕРВЫ РЫБНЫЕ (за условную банку весом 350г),,,,3521.5683000000004,,3328.08,,3207.32,,3712.64,,3216.72,,3963.0,3344.0,,3298.78
КОНСЕРВЫ РЫБНЫЕ ДЕЛИКАТЕСНЫЕ (шпроты и лосось) - за условную банку весом 350 г,,,,7769.903114000002,,7749.78,,7848.6,,7669.92,,7569.52,,7833.0,7580.0,,8158.06
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) - за условную банку весом 250 г,,,,3488.7910460000003,,3352.84,,3482.64,,3683.7,,3446.34,,3484.0,3148.0,,3963.25
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СЫРОЕ",,,,1459.7201340000004,,1488.34,,1429.12,,1390.04,,1296.18,,1558.0,1467.0,,1453.65
КЕФИР,,,,1527.7155900000002,,1528.58,,1442.96,,1460.3,,1319.01,,1665.0,1570.0,,1510.2
СМЕТАНА ,,,,6462.174844,,5956.6,,6459.56,,5382.76,,6286.06,,7451.0,6223.0,,6504.38
ТВОРОГ ЖИРНЫЙ,,,,8200.229246,,7832.64,,6705.36,,7345.72,,7851.13,,10314.0,6978.0,,8188.2
ТВОРОГ НЕЖИРНЫЙ,,,,7847.369146,,9331.34,,5582.4,,6275.88,,9996.92,,8326.0,6356.0,,9437.57
ЙОГУРТ (за 250 г),,,,1473.1743840000004,,2002.84,,1362.52,,1675.62,,1644.39,,1319.0,1144.0,,1368.36
ГЛАЗИРОВАННЫЙ СЫРОК (за 50 г),,,,807.572912,,742.24,,741.2,,836.4,,833.36,,819.0,769.0,,929.29
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ  (за 200 г)",,,,1915.885318,,1950.1,,2228.96,,1562.04,,1942.96,,2019.0,1659.0,,2062.12
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,17023.300460000002,,18237.9,,13563.52,,14385.4,,18194.99,,17603.0,18385.0,,18333.37
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за условную банку весом 400 г),,,,2645.9447060000007,,2602.4,,2491.36,,2697.5,,2593.78,,2693.0,2693.0,,2673.93
МОРОЖЕНОЕ,,,,12172.177552000003,,12833.76,,12477.64,,13631.96,,11321.34,,12154.0,11730.0,,10592.49
СЫР  ТВЕРДЫЙ,,,,15149.239846000002,,15181.14,,14764.88,,15701.44,,14437.54,,15043.0,14290.0,,17087.13
СЫР МЯГКИЙ ,,,,11170.591984000004,,9302.0,,10849.84,,10527.18,,10899.61,,13615.0,10034.0,,10341.3
СЫР ПЛАВЛЕНЫЙ,,,,13865.82725,,11689.06,,13032.8,,11752.78,,12831.35,,15784.0,15763.0,,13702.93
МАСЛО ЖИВОТНОЕ,,,,14312.228570000003,,13766.12,,13713.24,,13388.08,,13822.61,,15503.0,13459.0,,15589.05
МАСЛО РАСТИТЕЛЬНОЕ ,,,,4473.287152000001,,4497.14,,4446.52,,4359.4,,4493.15,,4503.0,4541.0,,4429.56
МАРГАРИН,,,,6402.061886,,5974.52,,6098.04,,5881.92,,5931.55,,6976.0,6979.0,,6135.25
ЯЙЦА  КУРИНЫЕ,,,,3223.226438,,3292.5,,3001.28,,3196.26,,3189.15,,3190.0,3374.0,,3330.72
САХАР-ПЕСОК,,,,2696.6316720000004,,2671.36,,2620.24,,2683.08,,2590.0,,2790.0,2690.0,,2711.61
ЧАЙ ЧЕРНЫЙ БАЙХОВЫЙ,,,,39744.36253200001,,43493.96,,41403.76,,31188.2,,33366.2,,38172.0,48284.0,,42671.65
КОФЕ  НАТУРАЛЬНЫЙ  В ЗЕРНАХ,,,,38120.256198,,40054.1,,35604.4,,35478.72,,49054.72,,32763.0,41538.0,,39853.9
КОФЕ РАСТВОРИМЫЙ,,,,91469.54860200001,,88072.16,,96705.84,,84698.88,,94898.11,,80307.0,95433.0,,118550.8
МЁД  НАТУРАЛЬНЫЙ,,,,27221.020088,,23516.22,,28603.96,,24460.28,,22906.43,,32418.0,27701.0,,24179.23
СОЛЬ  ПОВАРЕННАЯ  ПИЩЕВАЯ,,,,683.9652500000001,,712.32,,712.32,,710.06,,634.34,,683.0,631.0,,711.33
МУКА ПШЕНИЧНАЯ ,,,,1888.5176240000003,,1753.96,,1934.16,,1816.56,,1937.88,,1984.0,1791.0,,1945.42
ХЛЕБ РЖАНОЙ,,,,1696.5075176218204,,,,,,1875.12,,1247.41,,1767.0,1723.0,,
ХЛЕБ РЖАНО-ПШЕНИЧНЫЙ,,,,1794.4564020000003,,1917.78,,1630.56,,1620.62,,1526.89,,2062.0,1756.0,,1695.61
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ВЫСШЕГО СОРТА",,,,2854.7757120000006,,3106.58,,2927.84,,2639.28,,2401.01,,2635.0,3468.0,,2880.52
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ПЕРВОГО СОРТА",,,,2076.8690320000005,,2159.3,,2050.0,,3001.06,,1689.0,,1777.0,2048.0,,1989.0
ИЗДЕЛИЯ БУЛОЧНЫЕ СДОБНЫЕ ИЗ МУКИ  ПШЕНИЧНОЙ ВЫСШЕГО СОРТА,,,,4571.031530000001,,4745.86,,3511.48,,5853.16,,4446.82,,4055.0,5274.0,,4308.12
"СУХАРИ, СУШКИ, БАРАНКИ",,,,6726.841904,,5664.08,,7005.28,,8688.88,,5904.96,,5528.0,8006.0,,7217.9
РИС ШЛИФОВАННЫЙ И ПОЛИРОВАННЫЙ,,,,4024.6010220000007,,4160.1,,3971.08,,3756.28,,4193.5,,4088.0,4010.0,,3956.97
КРУПА МАННАЯ,,,,2119.2915900000007,,2135.1,,2101.72,,2212.26,,2148.15,,2210.0,1861.0,,2107.55
КРУПА ПШЕННАЯ,,,,1982.5201900000004,,1930.6,,1874.88,,1803.64,,2308.47,,2208.0,1742.0,,1842.28
КРУПА ГРЕЧНЕВАЯ,,,,2516.6038040000008,,2529.42,,2504.08,,2501.24,,2638.75,,2458.0,2500.0,,2587.14
