,,,,Беларусь,,Брестская,,Витебская,Гомельская,,Гродненская,г. Минск,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,11762.82198,,10945.6,,10882.1,10263.0,,10653.0,12880.0,11433.0,,13060.0
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,18324.442864,,15723.1,,18755.21,18843.38,,16908.92,20076.0,16039.0,,17706.6
СВИНИНА (кроме бескостного мяса),,,,11374.231338,,11437.7,,10347.12,10944.48,,9732.16,11880.0,11841.0,,12288.32
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,17682.597735,,16128.64,,16851.98,17876.39,,18448.48,17992.0,18372.0,,17553.36
ФАРШ МЯСНОЙ (без добавок),,,,13947.098270999999,,13414.0,,12174.86,13796.39,,15904.36,14933.0,12646.0,,13027.76
МЯСО ПТИЦЫ,,,,7814.067672,,7838.02,,7948.69,7500.78,,7755.68,7876.0,7868.0,,7815.68
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,10030.115808000002,,10150.1,,10227.54,8862.7,,9901.84,10226.0,10292.0,,10316.56
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,5221.478236000001,,5660.96,,5050.1,5964.92,,4987.36,4749.0,5515.0,,5510.72
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,1046.617293,,1039.64,,933.25,1043.37,,902.64,1182.0,1036.0,,878.32
ПЕЛЬМЕНИ МЯСНЫЕ,,,,9465.879886,,8461.42,,8027.83,9924.0,,8870.88,10405.0,10117.0,,8308.64
САЛО,,,,12854.346059,,9539.6,,13091.44,12301.63,,12103.36,14975.0,11425.0,,11813.04
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,12632.347051,,12487.2,,12782.93,12819.15,,12088.88,12697.0,12527.0,,12758.8
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,9681.193672000001,,9674.68,,9862.94,10039.32,,9206.32,9554.0,10401.0,,9145.2
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,8028.291808,,8214.92,,8921.55,6671.64,,7560.96,7973.0,8674.0,,8430.96
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,18827.681774,,16779.2,,18177.76,18951.02,,17850.56,20390.0,16576.0,,19532.72
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,30055.692267,,27139.44,,28269.59,30089.15,,28319.2,33548.0,29365.0,,25767.36
"ПАШТЕТ, ЗЕЛЬЦ",,,,5739.032683,,5625.8,,5459.52,5198.47,,4917.6,6291.0,6491.0,,4970.32
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,3602.5169189999997,,3531.64,,3358.33,3768.11,,3237.76,3628.0,4244.0,,3324.24
СОСИСКИ,,,,12349.218208000002,,11136.46,,11452.27,12227.86,,11915.84,13141.0,12637.0,,12220.56
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,18208.752948,,18501.52,,20536.96,15700.76,,20356.16,17889.0,16408.0,,19383.68
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,5540.993670999999,,5259.9,,5028.37,5968.33,,5720.68,5748.0,5766.0,,4808.88
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,5135.8759279999995,,5263.0,,4811.35,5584.12,,5307.24,5024.0,5608.0,,4552.56
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ   (за условную банку весом 350 г),,,,6101.505367,,5873.86,,5324.62,5728.77,,5989.76,6482.0,6341.0,,6259.12
РЫБА ЖИВАЯ,,,,6260.765658,,5379.62,,6575.37,6832.16,,6461.84,6280.0,5986.0,,6149.12
РЫБА МОРОЖЕНАЯ (ТРЕСКОВЫЕ И СКУМБРИЕВЫЕ),,,,10265.867875,,7212.54,,8261.12,8189.57,,8557.68,13068.0,9814.0,,10922.56
РЫБА МОРОЖЕНАЯ (ФИЛЕ И РАЗДЕЛАННАЯ),,,,13072.599231,,10764.74,,9386.0,8728.05,,10623.84,18728.0,10837.0,,10753.92
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,21316.601267,,21052.66,,26231.8,25458.89,,21000.72,18504.0,24500.0,,17282.8
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,25722.679231000002,,24276.9,,22282.43,21789.41,,24270.64,31158.0,21253.0,,23886.28
ИКРА ЛОСОСЕВЫХ РЫБ,,,,244691.25902400003,,210127.98,,255808.55,245936.82,,220962.28,259435.0,239685.0,,243626.64
ПРОЧИЕ ВИДЫ ИКРЫ РЫБ (за условную банку весом  200 г),,,,5510.6693,,5630.58,,4964.61,5123.86,,4738.84,6261.0,4999.0,,5216.56
СЕЛЬДЬ СОЛЕНАЯ,,,,7697.467632,,8264.04,,6342.17,7102.2,,7223.04,8554.0,7737.0,,6930.72
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные,  фарш)",,,,11513.460021,,11126.38,,11337.41,11401.35,,9940.72,11977.0,11547.0,,12071.44
КОНСЕРВЫ РЫБНЫЕ (за условную банку весом 350г),,,,2964.898709,,2848.8,,2603.56,3041.97,,3002.56,3288.0,2738.0,,2532.64
КОНСЕРВЫ РЫБНЫЕ ДЕЛИКАТЕСНЫЕ (шпроты и лосось) - за условную банку весом 350 г,,,,6983.916911000001,,7145.6,,6769.19,7012.07,,6745.48,7064.0,6995.0,,6960.84
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) - за условную банку весом 250 г,,,,3434.1653289999995,,3343.18,,3422.93,3696.03,,3399.08,3420.0,3088.0,,3651.44
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СЫРОЕ",,,,1448.6275980000003,,1438.92,,1437.86,1336.1,,1240.4,1553.0,1459.0,,1438.8
КЕФИР,,,,1470.1451929999998,,1348.34,,1297.71,1426.79,,1259.44,1624.0,1511.0,,1478.48
СМЕТАНА ,,,,6458.457869000001,,6144.2,,6579.66,4898.49,,6194.88,7325.0,6060.0,,6350.16
ТВОРОГ ЖИРНЫЙ,,,,7956.694978999999,,7655.78,,6717.0,7194.17,,8006.68,9027.0,6457.0,,8561.6
ТВОРОГ НЕЖИРНЫЙ,,,,7061.277483000001,,5800.0,,5399.67,5939.95,,9640.68,7577.0,5327.0,,9376.64
ЙОГУРТ (за 250 г),,,,1423.8618259999998,,1728.92,,1428.59,1565.02,,1563.28,1382.0,1082.0,,1301.6
ГЛАЗИРОВАННЫЙ СЫРОК (за 50 г),,,,745.0779640000001,,700.0,,715.36,709.4,,733.24,757.0,688.0,,897.28
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ    (за 200 г)",,,,1805.7291519999999,,1743.48,,2143.7,1568.44,,1634.92,1941.0,1639.0,,1660.92
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,15300.651366,,15581.0,,13261.01,13614.9,,15514.92,15852.0,15947.0,,16686.64
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за условную банку весом 400 г),,,,2363.6858479999996,,2343.84,,2350.16,2319.76,,2364.56,2377.0,2362.0,,2409.84
МОРОЖЕНОЕ,,,,11233.728971999999,,12297.32,,12247.82,12016.4,,9780.24,11216.0,10990.0,,9658.88
СЫР  ТВЕРДЫЙ,,,,14786.920474,,14415.58,,14316.67,14974.44,,14150.16,15113.0,14048.0,,15708.4
СЫР МЯГКИЙ ,,,,10818.172381,,8463.76,,9453.35,9879.89,,10438.48,13350.0,9778.0,,8984.08
СЫР ПЛАВЛЕНЫЙ,,,,13199.994003,,11278.12,,12204.21,11534.23,,12321.68,14307.0,15567.0,,13014.0
МАСЛО ЖИВОТНОЕ,,,,12633.334239999998,,12951.46,,12841.33,12515.74,,13278.88,11970.0,11718.0,,14763.36
МАСЛО РАСТИТЕЛЬНОЕ ,,,,4277.815786,,4591.76,,4548.1,4730.18,,4155.92,3829.0,4702.0,,4248.12
МАРГАРИН,,,,6129.833614,,5739.62,,5607.55,5512.68,,5524.64,6733.0,6604.0,,5932.4
ЯЙЦА  КУРИНЫЕ,,,,3031.0467959999996,,3085.04,,2928.02,2889.0,,3048.0,3008.0,3340.0,,3008.08
САХАР-ПЕСОК,,,,2107.95167,,2076.62,,2048.3,2030.0,,2030.0,2210.0,2090.0,,2054.24
ЧАЙ ЧЕРНЫЙ БАЙХОВЫЙ,,,,34201.42779,,33888.4,,33782.0,27988.7,,28304.8,35350.0,42480.0,,35511.92
КОФЕ  НАТУРАЛЬНЫЙ  В ЗЕРНАХ,,,,34168.744289,,34795.74,,39331.62,30504.75,,40981.12,29626.0,38444.0,,36749.36
КОФЕ РАСТВОРИМЫЙ,,,,78186.044895,,81312.3,,73810.98,70301.13,,82190.72,72622.0,94606.0,,87358.48
МЁД  НАТУРАЛЬНЫЙ,,,,24237.720963000003,,19977.34,,24275.65,21943.65,,22589.32,28444.0,22457.0,,20826.4
СОЛЬ  ПОВАРЕННАЯ  ПИЩЕВАЯ,,,,460.220728,,367.34,,449.66,398.82,,393.12,544.0,431.0,,455.92
МУКА ПШЕНИЧНАЯ ,,,,1930.811768,,1790.08,,1817.83,1988.32,,1872.88,2023.0,1848.0,,1963.24
ХЛЕБ РЖАНОЙ,,,,1642.379401518535,,,,,1747.88,,1313.84,1684.0,1666.0,,
ХЛЕБ РЖАНО-ПШЕНИЧНЫЙ,,,,1676.449865,,1770.6,,1611.66,1490.05,,1382.28,1859.0,1569.0,,1652.04
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ВЫСШЕГО СОРТА",,,,2618.141071,,2933.34,,2468.34,2506.73,,2266.64,2486.0,3109.0,,2839.72
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ПЕРВОГО СОРТА",,,,1973.110553,,2130.48,,1758.5,3073.93,,1680.0,1700.0,1892.0,,1944.0
ИЗДЕЛИЯ БУЛОЧНЫЕ СДОБНЫЕ ИЗ МУКИ  ПШЕНИЧНОЙ ВЫСШЕГО СОРТА,,,,4349.8995509999995,,4624.42,,3621.68,5382.45,,3994.48,3998.0,5026.0,,4393.28
"СУХАРИ, СУШКИ, БАРАНКИ",,,,6124.554522,,5714.58,,5950.09,8352.4,,5634.0,5106.0,7111.0,,6770.4
РИС ШЛИФОВАННЫЙ И ПОЛИРОВАННЫЙ,,,,4406.0,,4389.0,,4166.0,4461.0,,4390.0,4436.0,4458.0,,4483.0
КРУПА МАННАЯ,,,,2290.292917,,2251.9,,2287.26,2228.23,,2145.64,2396.0,2224.0,,2257.64
КРУПА ПШЕННАЯ,,,,2848.863132,,2854.28,,2678.06,2612.96,,2680.72,3096.0,2771.0,,2740.2
КРУПА ГРЕЧНЕВАЯ,,,,2800.390813,,2757.42,,2611.09,2722.23,,2971.92,2834.0,2804.0,,2885.28
"ОВСЯНЫЕ ХЛОПЬЯ ""ГЕРКУЛЕС""",,,,2350.687906,,2219.62,,2212.79,1967.6,,2628.56,2162.0,3057.0,,2753.52
КУКУРУЗНЫЕ ХЛОПЬЯ,,,,6054.909017,,5881.28,,7155.15,5922.25,,5955.48,5798.0,6144.0,,6005.88
КРУПА ПЕРЛОВАЯ,,,,1466.0864769999998,,1344.08,,1476.76,1512.37,,1426.08,1598.0,1235.0,,1361.84
КАШИ ДЛЯ ДЕТСКОГО И ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,13280.481916,,11338.76,,11083.35,11170.56,,11077.4,15639.0,11363.0,,16453.8
"ГОРОХ, ФАСОЛЬ",,,,3114.9010150000004,,2562.0,,2376.23,2812.95,,2874.44,3584.0,4152.0,,2479.52
МЮСЛИ И ПРОЧИЕ СУХИЕ ЗАВТРАКИ ИЗ РАЗЛИЧНЫХ КРУП,,,,9168.243284999999,,8230.24,,9181.81,7616.85,,9079.68,10508.0,8115.0,,8770.32
"МАКАРОНЫ, РОЖКИ",,,,2966.635445,,3136.5,,2970.16,2836.99,,2910.12,2897.0,3178.0,,3009.6
"ВЕРМИШЕЛЬ, ЛАПША",,,,3070.9150759999998,,3094.46,,2789.53,2819.5,,2912.68,3271.0,3141.0,,3079.44
ВОДКА ,,,,13375.452586000001,,13351.3,,13193.77,13480.0,,12960.0,13480.0,13393.0,,13480.0
НАСТОЙКИ ГОРЬКИЕ КРЕПКИЕ,,,,21612.937182,,18290.1,,14506.17,14271.32,,22382.16,26254.0,24310.0,,23217.36
КОНЬЯК,,,,55944.287851,,51734.5,,74014.65,45165.13,,46404.72,60191.0,51277.0,,52544.48
ВИНО ВИНОГРАДНОЕ КРЕПЛЕНОЕ,,,,15661.531141,,12518.86,,16614.47,13065.83,,12306.68,18672.0,15412.0,,14312.4
ВИНО ВИНОГРАДНОЕ СТОЛОВОЕ,,,,17490.560312999998,,12173.02,,14336.91,12118.11,,12983.96,23696.0,14990.0,,19168.24
ПИВО,,,,2956.118031,,2729.2,,2795.81,2791.59,,3054.56,3196.0,2736.0,,2919.28
