,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,Минская,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,12471.848156000002,,11137.64,,11703.44,,11080.0,,11570.0,,13780.0,,13033.0,,13614.89
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,18150.328190000004,,14627.96,,20658.56,,18558.4,,16815.03,,19893.0,,16984.0,,17683.41
СВИНИНА (кроме бескостного мяса),,,,11741.731256000001,,11604.2,,11320.92,,11447.8,,10260.54,,12350.0,,11897.0,,12509.75
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,18786.562270000006,,15899.74,,19738.24,,19002.6,,18869.04,,19619.0,,18814.0,,18749.62
ФАРШ МЯСНОЙ (без добавок),,,,14515.397150000003,,13495.68,,13427.6,,14417.1,,15270.62,,15203.0,,15527.0,,13150.16
МЯСО ПТИЦЫ,,,,8179.454300000001,,8078.54,,8441.92,,7956.66,,8128.1,,8066.0,,8303.0,,8468.14
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,10899.893992000001,,11060.24,,10715.52,,9715.74,,10817.53,,11383.0,,11080.0,,11058.54
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,5885.922732,,5764.12,,5629.6,,6477.16,,5956.36,,5565.0,,6245.0,,5784.56
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,1105.1149520000001,,1088.86,,1058.88,,1107.56,,981.47,,1285.0,,1018.0,,961.83
ПЕЛЬМЕНИ МЯСНЫЕ,,,,9695.208158000001,,8570.14,,8447.4,,10140.54,,9224.65,,10635.0,,10239.0,,9211.19
САЛО,,,,12631.386750000001,,9652.1,,13346.72,,12370.8,,12051.9,,14251.0,,12506.0,,12476.91
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,12893.07007,,12861.92,,13210.48,,13327.26,,12636.2,,12632.0,,12552.0,,13427.1
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,9737.595944,,9572.04,,9922.12,,10768.56,,9427.98,,8908.0,,10644.0,,9504.63
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,8111.206722000002,,8728.84,,9570.64,,7081.64,,8028.27,,7346.0,,8721.0,,8196.76
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,19490.798938000004,,16823.66,,18925.64,,20111.74,,18494.51,,21594.0,,18016.0,,20397.12
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,31505.749926,,27798.78,,31068.84,,30719.02,,31236.79,,35624.0,,30197.0,,29215.32
"ПАШТЕТ, ЗЕЛЬЦ",,,,5815.050782,,6011.16,,5508.08,,5552.26,,5135.9,,6361.0,,6154.0,,5053.05
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,3816.8892580000006,,3789.44,,3487.24,,4090.72,,3353.71,,3852.0,,4281.0,,3572.77
СОСИСКИ,,,,12644.970308000002,,11708.58,,11925.2,,13137.06,,12396.16,,13232.0,,12157.0,,13450.5
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,18657.507910000004,,19561.1,,21646.8,,16482.06,,21070.83,,17125.0,,16684.0,,21358.36
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,6016.8755200000005,,5660.94,,5567.28,,6339.6,,5720.21,,6471.0,,6164.0,,5463.17
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,5589.245270000001,,5309.26,,4949.64,,5443.14,,5819.13,,5968.0,,5754.0,,5418.01
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ (за условную банку весом 350 г),,,,6594.378702000001,,6526.4,,6447.28,,6613.34,,6447.38,,6720.0,,6573.0,,6681.28
РЫБА ЖИВАЯ,,,,6214.560728,,5283.48,,6581.28,,7133.26,,6125.81,,6052.0,,6309.0,,6113.04
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,9230.027626000001,,6602.32,,8453.8,,7788.28,,9113.57,,11441.0,,9046.0,,10016.8
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,12321.171892000004,,10834.36,,9510.88,,9394.2,,10497.88,,17874.0,,10779.0,,11048.68
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,22430.053258000004,,21650.98,,26794.72,,24900.64,,22579.34,,20596.0,,23889.0,,17513.55
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,28495.41497,,26895.06,,25957.12,,23465.68,,26006.68,,30834.0,,23555.0,,43932.66
ИКРА ЛОСОСЕВЫХ РЫБ,,,,229958.75802200005,,193794.28,,212441.28,,231370.98,,224791.74,,245762.0,,250000.0,,228976.91
ПРОЧИЕ ВИДЫ ИКРЫ РЫБ (за условную банку весом  200 г),,,,5549.817848000001,,6628.12,,4805.0,,6136.18,,4617.69,,5920.0,,5056.0,,4982.19
СЕЛЬДЬ СОЛЕНАЯ,,,,7369.390076000001,,8023.62,,6575.2,,6910.76,,7363.97,,7906.0,,7091.0,,7093.37
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,11596.523046000004,,11165.34,,12439.4,,11590.66,,10071.51,,12041.0,,11899.0,,11135.05
КОНСЕРВЫ РЫБНЫЕ (за условную банку весом 350г),,,,3650.615668000001,,3386.16,,3088.72,,3694.04,,3232.38,,4429.0,,3542.0,,3140.19
КОНСЕРВЫ РЫБНЫЕ ДЕЛИКАТЕСНЫЕ (шпроты и лосось) - за условную банку весом 350 г,,,,7721.055134000001,,7696.74,,7745.04,,7695.2,,7606.78,,7721.0,,7462.0,,8256.55
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) - за условную банку весом 250 г,,,,3490.3578440000006,,3355.04,,3482.64,,3654.32,,3444.96,,3500.0,,3156.0,,3963.25
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СЫРОЕ",,,,1491.0548420000002,,1535.0,,1459.4,,1415.4,,1340.33,,1585.0,,1491.0,,1483.68
КЕФИР,,,,1515.3367140000003,,1556.82,,1471.36,,1483.54,,1362.47,,1535.0,,1602.0,,1535.51
СМЕТАНА ,,,,6541.410772000001,,6026.58,,6484.32,,5488.02,,6397.74,,7489.0,,6358.0,,6616.34
ТВОРОГ ЖИРНЫЙ,,,,8344.095982000003,,7973.22,,6841.8,,7526.76,,8042.38,,10474.0,,7050.0,,8309.59
ТВОРОГ НЕЖИРНЫЙ,,,,7831.289058000001,,9504.82,,5795.44,,6113.4,,10125.18,,8497.0,,6257.0,,8595.2
ЙОГУРТ (за 250 г),,,,1524.3032460000002,,2019.16,,1582.08,,1689.2,,1654.39,,1367.0,,1138.0,,1452.09
ГЛАЗИРОВАННЫЙ СЫРОК (за 50 г),,,,818.0714260000001,,765.72,,751.36,,841.74,,840.36,,831.0,,769.0,,945.73
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ  (за 200 г)",,,,1912.0205700000001,,1898.14,,2186.12,,1577.02,,1954.65,,2051.0,,1640.0,,2051.93
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,17309.407958000003,,18275.56,,13588.2,,14392.0,,18226.87,,18608.0,,18833.0,,17761.23
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за условную банку весом 400 г),,,,2671.7195540000007,,2611.96,,2538.6,,2706.78,,2604.46,,2729.0,,2719.0,,2705.89
МОРОЖЕНОЕ,,,,12386.731488000001,,12805.76,,12595.16,,13742.96,,11450.18,,12549.0,,12076.0,,10790.74
СЫР  ТВЕРДЫЙ,,,,15326.582048000002,,15306.72,,14699.4,,16163.7,,14670.07,,15278.0,,14286.0,,17289.69
СЫР МЯГКИЙ ,,,,11310.901158000002,,9364.78,,11214.96,,10595.6,,10965.16,,13783.0,,10061.0,,10585.34
