,,,,Беларусь,,Брестская,Витебская,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,11729.123908000001,,10945.6,10878.06,10263.0,,11020.0,,12880.0,,11433.0,,12420.6
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,18080.575200000003,,15729.04,18511.85,18795.68,,16909.48,,19568.0,,15532.0,,17888.36
СВИНИНА (кроме бескостного мяса),,,,11365.42736,,11475.18,10350.98,10992.18,,9710.32,,11880.0,,11679.0,,12289.2
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,17766.170835,,16101.9,17300.19,17761.49,,18553.76,,18010.0,,18352.0,,17886.96
ФАРШ МЯСНОЙ (без добавок),,,,13876.387970999998,,13437.38,12491.43,13700.09,,15924.52,,14550.0,,13107.0,,12859.12
МЯСО ПТИЦЫ,,,,7807.916151,,7840.52,7979.48,7471.87,,7774.4,,7872.0,,7892.0,,7727.6
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,10085.297454000001,,10643.28,10336.61,8956.06,,9938.0,,10221.0,,10277.0,,10106.56
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,5276.659605000001,,5682.08,5592.65,5468.05,,5076.4,,4651.0,,6261.0,,5495.36
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,1061.517071,,1045.52,935.81,1049.19,,906.56,,1202.0,,1085.0,,885.2
ПЕЛЬМЕНИ МЯСНЫЕ,,,,9452.333999,,8373.64,8087.7,9882.99,,8908.4,,10406.0,,9720.0,,8622.64
САЛО,,,,12886.907604,,9666.58,12880.85,11956.5,,12164.96,,15183.0,,11456.0,,11883.04
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,12591.905012,,12506.14,12619.91,12926.38,,12214.64,,12523.0,,12580.0,,12809.36
