,,,,Беларусь,,Брестская,,Витебская,Гомельская,,Гродненская,,г. Минск,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,
ГОВЯДИНА ПЕРВОЙ КАТЕГОРИИ,,,,18264.833740000002,,19200.0,,16686.65,17120.0,,16980.0,,18540.0,19147.0,,20000.0
ПОЛУФАБРИКАТЫ МЯСНЫЕ ИЗ ГОВЯДИНЫ,,,,26363.369022,,22852.22,,23432.6,29510.44,,23767.36,,32010.0,24528.0,,25454.28
СВИНИНА (кроме бескостного мяса),,,,16559.137772000002,,16739.9,,16541.99,17335.82,,14605.7,,14764.0,17925.0,,18477.32
ПОЛУФАБРИКАТЫ МЯСНЫЕ  ИЗ СВИНИНЫ,,,,25925.330140000002,,22947.64,,26409.81,27154.72,,25516.77,,26797.0,25569.0,,26972.92
ФАРШ МЯСНОЙ (без добавок),,,,18441.349252,,18584.58,,16858.72,17711.3,,19752.01,,20422.0,18365.0,,16488.76
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,14556.340806,,14546.28,,14747.93,14636.46,,14403.96,,14433.0,14626.0,,14514.04
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,17667.957008,,17008.76,,19019.16,16110.08,,14695.69,,19524.0,19109.0,,16963.52
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,8462.120154,,8313.42,,9589.9,8578.08,,8235.81,,8185.0,7335.0,,9382.8
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,1443.061906,,1314.82,,1419.9,1507.12,,1268.34,,1710.0,1533.0,,1154.8
ПЕЛЬМЕНИ МЯСНЫЕ,,,,12672.293093999999,,11738.92,,9936.76,13008.5,,12362.88,,14797.0,12681.0,,13224.92
САЛО,,,,16712.269278,,13818.58,,17988.16,16258.28,,15633.27,,19531.0,15110.0,,17983.8
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,16001.312258000004,,16198.5,,15921.38,16164.4,,15686.82,,16410.0,15313.0,,16139.92
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,12001.339902,,11902.44,,12201.91,12650.58,,11144.7,,10991.0,13397.0,,11769.6
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,9702.800316,,10849.06,,12192.3,8701.58,,9411.02,,7210.0,10744.0,,9872.72
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,24893.342498,,23345.36,,21736.94,25229.42,,23887.22,,29073.0,24102.0,,24976.72
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,40018.791992,,37715.18,,36542.4,38983.34,,39643.23,,48280.0,37176.0,,38428.4
"ПАШТЕТ, ЗЕЛЬЦ",,,,7838.257342,,7736.36,,6915.94,6795.18,,6412.03,,10466.0,8183.0,,6914.64
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,4829.714486000001,,4652.98,,4060.71,5431.56,,4439.21,,5338.0,5339.0,,3995.4
СОСИСКИ,,,,15446.599664,,15037.46,,14745.26,15982.94,,15494.77,,15882.0,14211.0,,16880.32
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,24478.6279,,25153.8,,23454.76,22581.44,,23846.38,,28827.0,19447.0,,27117.96
