,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,53017.95284117373,,53000.0,,61670.0,,53683.0,,31650.0,,54525.0,,,,60695.0
ГОВЯДИНА БЕСКОСТНАЯ,,,,83631.758731,,71677.46,,70858.1,,77238.75,,74800.8,,110863.0,,71680.0,,73970.88
СВИНИНА (кроме бескостного мяса),,,,45243.209725,,46440.22,,46096.5,,46724.05,,40607.8,,41220.0,,48735.0,,52034.1
СВИНИНА БЕСКОСТНАЯ,,,,65872.43821600001,,63574.41,,63216.1,,64194.3,,65773.04,,68662.0,,63984.0,,69357.34
ФАРШ МЯСНОЙ (без добавок),,,,54973.403536,,56843.57,,46986.5,,47792.1,,52830.36,,67715.0,,49355.0,,46421.22
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,26634.260503999998,,26016.47,,26926.3,,26697.0,,26071.08,,26959.0,,26532.0,,26858.09
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,36316.337028,,36195.11,,36866.8,,36603.7,,33527.68,,36715.0,,35265.0,,38875.46
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,17923.186576,,17919.05,,19813.1,,20737.1,,15660.76,,15518.0,,18242.0,,20707.72
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,4038.149981,,3685.99,,3453.4,,4269.75,,3407.64,,4884.0,,3752.0,,3655.94
ПЕЛЬМЕНИ МЯСНЫЕ,,,,29021.596079,,27035.75,,25069.5,,31533.95,,28086.04,,30929.0,,29101.0,,28825.73
САЛО,,,,48969.607688000004,,41488.95,,54003.1,,46254.5,,46798.88,,53740.0,,44728.0,,51204.46
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,45756.237998,,46124.14,,42462.5,,44829.9,,45250.44,,48135.0,,45442.0,,44885.9
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,34147.436348999996,,34421.76,,33339.8,,33870.05,,29942.12,,33400.0,,44184.0,,27420.5
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА ,,,,27266.024407,,32803.16,,32254.1,,21961.85,,25530.2,,24961.0,,31530.0,,22934.01
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,71368.36883200001,,63069.19,,69636.8,,76765.3,,64612.72,,80257.0,,60935.0,,74916.24
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,119439.766507,,112254.1,,115416.6,,115653.65,,107455.04,,136095.0,,118360.0,,106782.27
"ПАШТЕТ, ЗЕЛЬЦ",,,,17082.466039,,17751.77,,15084.3,,12818.95,,13369.6,,20393.0,,19856.0,,15006.87
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,12266.345743000002,,10907.14,,11720.7,,13391.15,,9523.44,,13085.0,,13816.0,,11754.1
СОСИСКИ,,,,45827.316651,,47507.35,,41503.8,,47087.95,,43007.04,,48305.0,,43412.0,,46953.59
"ВЕТЧИНА, БУЖЕНИНА, ОКОРОК",,,,64819.409927999994,,65658.48,,66613.4,,58053.0,,64182.32,,68178.0,,57594.0,,71946.62
ГОВЯДИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,25430.70004,,22470.02,,23861.4,,25540.8,,21880.32,,29494.0,,24026.0,,25643.78
СВИНИНА ТУШЕНАЯ КОНСЕРВИРОВАННАЯ (за условную банку весом 350 г),,,,21234.984673,,19964.32,,18387.4,,21253.55,,20589.48,,23441.0,,21896.0,,19975.71
КОНСЕРВЫ  МЯСНЫЕ ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ   (за условную банку             весом 350 г),,,,22612.271864,,21703.78,,23088.3,,21295.1,,21785.44,,24748.0,,22671.0,,19761.83
РЫБА ЖИВАЯ,,,,29556.245766,,27411.61,,26999.9,,32038.9,,27827.44,,30403.0,,31420.0,,29158.69
РЫБА МОРОЖЕНАЯ (тресковые и скумбриевые),,,,29982.505939000002,,23039.42,,28241.9,,28388.15,,28733.96,,34691.0,,28058.0,,34263.16
РЫБА МОРОЖЕНАЯ (филе и разделанная),,,,39516.437794,,40406.94,,28405.7,,27754.8,,36758.08,,58020.0,,28898.0,,33767.39
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ,,,,70537.65540500001,,67904.17,,74133.2,,90997.55,,78993.68,,57982.0,,72626.0,,65938.92
РЫБА СОЛЕНАЯ И КОПЧЕНАЯ ДЕЛИКАТЕСНАЯ,,,,123920.488248,,157492.99,,118997.7,,86180.8,,114158.84,,101068.0,,157486.0,,161312.75
ИКРА ЛОСОСЕВЫХ РЫБ,,,,595987.159844,,558377.59,,616897.1,,558033.7,,528616.08,,692006.0,,541270.0,,552221.24
ПРОЧИЕ   ВИДЫ   ИКРЫ   РЫБ   (за условную банку весом      200 г),,,,16923.885331,,14859.15,,15259.7,,17986.45,,13942.04,,20568.0,,16201.0,,14413.44
СЕЛЬДЬ СОЛЕНАЯ,,,,31395.365074999994,,32687.35,,28444.4,,30634.75,,31715.64,,31944.0,,31111.0,,32852.41
"ПОЛУФАБРИКАТЫ РЫБНЫЕ (котлеты, палочки рыбные , фарш)",,,,34311.300478,,36895.1,,33797.3,,42996.2,,35547.36,,30120.0,,34983.0,,29718.43
КОНСЕРВЫ РЫБНЫЕ (за условную банку весом 350г),,,,14649.845560000002,,12318.82,,11370.7,,14006.7,,12545.16,,20600.0,,10996.0,,13486.69
КОНСЕРВЫ РЫБНЫЕ ДЕЛИКАТЕСНЫЕ (шпроты и лосось) - за условную банку весом 350 г,,,,26613.7451,,25623.26,,27559.6,,27014.8,,26008.08,,28013.0,,24880.0,,25461.52
ПРЕСЕРВЫ РЫБНЫЕ (филе сельди в различных соусах и заливках) - за условную банку весом 250 г,,,,14052.366683999999,,13989.04,,13377.7,,14569.8,,14100.48,,14523.0,,13380.0,,13893.94
,,,,,,,,,,,,,,,,,,
"* - на уровень средней цены, кроме ценовых факторов, оказывают влияние также структурные сдвиги, среди  которых особо следует  ",,,,,,,,,,,,,,,,,,
"выделить многообразные ассортиментные изменения: появление новых товаров, исчезновение старых, изменение  доли  отдельных",,,,,,,,,,,,,,,,,,
"товаров  с  различным уровнем  цен,  территориальные  сдвиги  в  размещении товаров с  региональной  дифференциацией  цен,  ",,,,,,,,,,,,,,,,,,
сезонные  колебания цен и прочее.  Поэтому средние цены не всегда могут быть использованы для характеристики динамики цен.,,,,,,,,,,,,,,,,,,
"МОЛОКО ЦЕЛЬНОЕ ПАСТЕРИЗОВАННОЕ, СЫРОЕ",,,,5767.721444,,5917.88,,5680.9,,5439.2,,6017.8,,5807.0,,5945.0,,5464.42
КЕФИР,,,,5892.06566,,6290.67,,5997.4,,5616.3,,5939.16,,5777.0,,5989.0,,5727.14
СМЕТАНА ,,,,22501.568844,,22808.83,,25113.0,,20066.7,,22993.68,,21768.0,,22295.0,,23839.04
ТВОРОГ ЖИРНЫЙ,,,,28837.244186,,28766.1,,27574.9,,28808.3,,28301.36,,29575.0,,26940.0,,31777.02
ТВОРОГ НЕЖИРНЫЙ,,,,25073.767289,,25351.77,,23555.8,,26083.35,,25339.48,,25680.0,,24102.0,,24683.34
ЙОГУРТ (за 250 г),,,,4859.489593,,5262.16,,5140.5,,5117.75,,4850.12,,4858.0,,4247.0,,4543.47
СЫРОК ГЛАЗИРОВАННЫЙ  (за 50 г),,,,3046.171306,,2774.38,,2982.3,,3199.9,,3025.24,,2889.0,,3144.0,,3605.64
"ТВОРОЖНЫЙ ДЕСЕРТ, КРЕМ, ПУДИНГ  (за 200 г)",,,,6002.1944300000005,,6531.81,,7222.3,,6718.0,,6052.08,,5514.0,,4977.0,,5657.72
СУХИЕ МОЛОЧНЫЕ СМЕСИ  ДЛЯ  ДЕТСКОГО  И  ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,64001.108512,,52444.56,,63818.1,,47190.5,,51910.48,,90017.0,,53338.0,,56885.23
МОЛОКО СГУЩЕНОЕ С САХАРОМ (за условную банку весом 400 г),,,,11173.669443,,10951.77,,11105.3,,11185.65,,11369.36,,11107.0,,11581.0,,10920.68
МОРОЖЕНОЕ,,,,49111.220509,,46306.27,,45649.5,,49312.35,,47866.28,,52529.0,,51613.0,,45004.74
СЫР  ТВЕРДЫЙ,,,,58764.155496,,56324.78,,54768.2,,60527.8,,57538.0,,61195.0,,56752.0,,62048.08
СЫР МЯГКИЙ ,,,,55132.558033999994,,39709.36,,41255.5,,34430.7,,34436.32,,89744.0,,44632.0,,60185.6
СЫР ПЛАВЛЕНЫЙ,,,,44576.487231,,42800.45,,44802.0,,43815.15,,42080.88,,45810.0,,45887.0,,45013.55
СЫР РАССОЛЬНЫЙ,,,,50251.40352,,47890.54,,46988.4,,47887.9,,48775.68,,52555.0,,56896.0,,46059.17
МАСЛО ЖИВОТНОЕ,,,,54731.886804999995,,54100.83,,53355.9,,51927.65,,52317.16,,54652.0,,60160.0,,55964.39
МАСЛО РАСТИТЕЛЬНОЕ (кроме оливкового),,,,16506.152479,,16149.82,,16619.4,,15948.65,,15979.76,,16900.0,,17014.0,,16300.31
МАСЛО ОЛИВКОВОЕ,,,,99793.828331,,87007.52,,82318.9,,98716.15,,101501.72,,115313.0,,98826.0,,95617.86
МАРГАРИН,,,,25199.826308,,24273.26,,22615.1,,23275.1,,23682.52,,27652.0,,26672.0,,24782.67
ЯЙЦА  КУРИНЫЕ,,,,9636.450552999999,,10162.61,,9204.2,,8753.65,,9884.16,,9742.0,,9831.0,,9776.83
САХАР-ПЕСОК,,,,7930.135027,,7775.93,,7840.7,,7886.25,,8000.0,,8000.0,,7969.0,,7971.86
ЧАЙ ЧЕРНЫЙ БАЙХОВЫЙ,,,,133173.59416799998,,135632.78,,124407.5,,110440.0,,115540.04,,134876.0,,168658.0,,133796.7
КОФЕ НАТУРАЛЬНЫЙ МОЛОТЫЙ,,,,138118.55110799999,,147784.38,,138442.5,,126612.2,,154256.32,,128368.0,,132341.0,,157870.52
КОФЕ РАСТВОРИМЫЙ,,,,294136.11750600004,,346404.14,,287829.3,,286082.9,,314103.76,,236539.0,,330289.0,,331240.72
МЁД  НАТУРАЛЬНЫЙ,,,,74743.55621899999,,67796.29,,75577.1,,72844.45,,67757.52,,89925.0,,61875.0,,68921.4
СОЛЬ  ПОВАРЕННАЯ  ПИЩЕВАЯ,,,,2199.7567919999997,,2027.34,,2231.7,,2099.9,,2016.0,,2547.0,,1882.0,,2201.51
МУКА ПШЕНИЧНАЯ ,,,,4321.056484,,3887.06,,4235.9,,4274.4,,4303.28,,4675.0,,4254.0,,4180.94
"ХЛЕБ РЖАНОЙ,РЖАНО-ПШЕНИЧНЫЙ",,,,5983.851018,,5834.95,,6018.9,,4814.2,,5606.2,,6817.0,,5653.0,,6207.44
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ВЫСШЕГО СОРТА",,,,10058.277442,,11506.93,,9260.6,,8340.4,,9547.96,,10575.0,,10835.0,,9363.1
"ХЛЕБ, ИЗДЕЛИЯ БУЛОЧНЫЕ (БАТОН) ИЗ  МУКИ ПШЕНИЧНОЙ ПЕРВОГО СОРТА",,,,5959.043089999998,,7450.91,,7400.0,,6089.0,,6128.0,,5143.0,,5676.0,,4558.0
ИЗДЕЛИЯ БУЛОЧНЫЕ СДОБНЫЕ ИЗ МУКИ  ПШЕНИЧНОЙ ВЫСШЕГО СОРТА,,,,15431.171221000002,,15110.9,,11945.8,,19249.65,,15229.88,,14250.0,,18072.0,,14944.4
"СУХАРИ, СУШКИ, БАРАНКИ",,,,24454.712481,,22398.04,,26651.6,,26665.75,,23055.68,,22383.0,,25167.0,,27890.35
РИС ШЛИФОВАННЫЙ И ПОЛИРОВАННЫЙ,,,,10909.473082,,10660.19,,10394.3,,10432.5,,11371.08,,11557.0,,10705.0,,10465.23
КРУПА МАННАЯ,,,,4942.673558,,4609.2,,5120.1,,5110.5,,4629.24,,5414.0,,4208.0,,5023.1
КРУПА ПШЕННАЯ,,,,6354.971350000001,,5643.79,,5516.3,,6131.6,,6472.36,,7274.0,,6604.0,,5553.24
КРУПА ГРЕЧНЕВАЯ,,,,12825.359315,,13073.42,,12774.4,,12990.85,,13230.44,,12804.0,,12325.0,,12683.01
"ОВСЯНЫЕ ХЛОПЬЯ ""ГЕРКУЛЕС""",,,,9699.471314,,9008.92,,9143.5,,8872.3,,10155.04,,10455.0,,9901.0,,9459.48
ХЛОПЬЯ КУКУРУЗНЫЕ ,,,,24832.38951,,21532.48,,24197.9,,20194.7,,20130.48,,31347.0,,20407.0,,29226.82
КРУПА ПЕРЛОВАЯ,,,,4232.9160059999995,,4332.54,,4082.6,,4366.0,,4009.48,,4429.0,,3988.0,,4163.05
КАШИ ДЛЯ ДЕТСКОГО И ДИЕТИЧЕСКОГО ПИТАНИЯ,,,,50314.789237,,44864.65,,47021.4,,43413.05,,44666.32,,64372.0,,45390.0,,44374.39
"ГОРОХ, ФАСОЛЬ",,,,10011.551279999998,,7481.48,,7323.2,,8106.5,,8558.48,,12570.0,,14303.0,,7381.37
МЮСЛИ И ПРОЧИЕ СУХИЕ ЗАВТРАКИ ИЗ РАЗЛИЧНЫХ КРУП,,,,38666.41110099999,,35265.79,,38172.0,,30870.65,,33872.04,,46364.0,,34571.0,,43425.59
"МАКАРОНЫ, РОЖКИ",,,,7210.748210000001,,7210.02,,6884.5,,5993.8,,6507.2,,8651.0,,6392.0,,7105.25
"ВЕРМИШЕЛЬ, ЛАПША",,,,7890.688052,,7612.22,,6720.2,,6038.0,,6769.12,,10582.0,,6839.0,,7305.24
ВОДКА ,,,,67389.029882,,67675.91,,67575.9,,70055.2,,67607.56,,67664.0,,65789.0,,64615.3
НАСТОЙКИ ГОРЬКИЕ КРЕПКИЕ,,,,79617.969323,,76458.79,,71446.0,,78571.35,,81439.68,,81116.0,,86298.0,,79426.21
КОНЬЯК,,,,193513.93285000004,,181195.22,,219261.9,,196133.5,,182395.76,,205447.0,,165044.0,,194157.94
ВИНО ВИНОГРАДНОЕ КРЕПЛЕНОЕ,,,,53579.544176,,47757.54,,50087.7,,48227.7,,46207.6,,61472.0,,61144.0,,47572.33
ВИНО ВИНОГРАДНОЕ СТОЛОВОЕ,,,,49031.026724999996,,36741.07,,42022.6,,37498.95,,33929.12,,67579.0,,46467.0,,57059.28
ПИВО,,,,12709.153806,,12713.09,,11034.5,,11583.4,,13310.44,,13759.0,,12831.0,,12456.84
ВИНО ИГРИСТОЕ  (ШАМПАНСКОЕ),,,,45286.483123,,43930.77,,44733.6,,44218.65,,44756.24,,46852.0,,45691.0,,44747.8
ВАФЛИ,,,,38453.562624,,37369.81,,36678.5,,39170.5,,37140.6,,39995.0,,38924.0,,37586.02
ПРЯНИКИ,,,,23863.515668,,20851.79,,22886.9,,23430.1,,20749.56,,26037.0,,24775.0,,25602.58
ПЕЧЕНЬЕ ,,,,25142.905804,,24212.62,,24677.5,,25154.2,,25166.28,,26158.0,,24938.0,,24349.94
ТОРТ,,,,58552.908313,,52675.78,,58245.0,,63204.45,,52603.68,,63840.0,,50448.0,,63985.96
ПИРОЖНЫЕ (за 1 шт. весом 100 г),,,,5593.083469000001,,5483.8,,5067.7,,6149.45,,4694.68,,6233.0,,5178.0,,5453.74
ИРИС,,,,33341.515687,,31047.1,,35062.0,,31823.35,,32175.84,,34000.0,,32424.0,,36949.02
" КОНФЕТЫ ""КАРАМЕЛЬ""",,,,28600.311183000005,,27882.3,,29929.4,,28633.75,,28279.16,,27063.0,,28703.0,,32369.88
КОНФЕТЫ ГЛАЗИРОВАННЫЕ ШОКОЛАДНОЙ ГЛАЗУРЬЮ,,,,63674.415523,,58666.56,,67930.7,,63424.95,,60378.8,,66957.0,,63274.0,,60305.44
"КОНФЕТЫ ГЛАЗИРОВАННЫЕ ЖИРОВОЙ   ГЛАЗУРЬЮ (типа ""Лимонные"", ""Осенние"")",,,,34536.930626,,35687.77,,33125.5,,32999.0,,35112.0,,34582.0,,37301.0,,32032.28
ШОКОЛАД,,,,100446.537682,,95839.05,,96322.7,,101673.7,,102688.4,,103090.0,,99369.0,,101688.91
ХАЛВА,,,,31167.136998999995,,31424.6,,30689.2,,29268.05,,27562.28,,34006.0,,30897.0,,30267.89
МАРМЕЛАД,,,,25799.137238000003,,26567.21,,25159.5,,26903.2,,24847.16,,25346.0,,25014.0,,27592.58
ЗЕФИР,,,,34182.083005,,39576.73,,35213.5,,30403.95,,31922.24,,36520.0,,31302.0,,30785.86
КАКАО - ПОРОШОК (за 200 г),,,,21177.596289999998,,19906.51,,23050.7,,23009.1,,25487.8,,22741.0,,12924.0,,20916.65
КАРТОФЕЛЬ,,,,2251.44515,,1748.76,,2418.9,,2024.6,,1885.64,,2620.0,,2291.0,,2310.31
ЧИПСЫ  КАРТОФЕЛЬНЫЕ (за 100 г),,,,10740.127396,,10365.93,,10141.4,,8301.1,,13145.32,,11758.0,,9871.0,,10892.96
КАПУСТА  БЕЛОКОЧАННАЯ  СВЕЖАЯ,,,,3557.6437969999997,,3346.25,,4543.5,,3180.55,,3785.0,,3626.0,,3329.0,,2993.26
ЛУК РЕПЧАТЫЙ,,,,4420.371457,,3873.25,,4555.8,,3951.35,,4311.64,,5128.0,,4007.0,,4310.22
СВЕКЛА,,,,2989.1351689999997,,2691.22,,3515.2,,2603.25,,2786.96,,3210.0,,3242.0,,2469.56
МОРКОВЬ,,,,4114.25441,,3300.56,,5887.1,,3796.7,,4114.52,,4316.0,,3809.0,,3276.38
ПОМИДОРЫ СВЕЖИЕ,,,,8184.616714000001,,5421.05,,8300.3,,8460.5,,8120.36,,9095.0,,7634.0,,9625.21
ОГУРЦЫ СВЕЖИЕ,,,,8645.492447,,7502.1,,7536.5,,8477.35,,8428.8,,9590.0,,9182.0,,8555.76
ЧЕСНОК,,,,29953.623057,,25772.6,,30575.4,,28489.55,,31082.32,,31400.0,,30148.0,,31004.49
ПЕРЕЦ СЛАДКИЙ,,,,12802.441117999999,,8815.95,,15597.1,,9605.8,,19317.72,,14550.0,,8850.0,,12368.42
ОВОЩИ ЗАМОРОЖЕННЫЕ,,,,28940.811999,,26661.33,,25216.2,,31047.95,,28013.92,,31990.0,,28350.0,,27129.15
ОВОЩИ КОНСЕРВИРОВАННЫЕ,,,,15383.100892,,14484.16,,13561.6,,13386.2,,14976.04,,15993.0,,17992.0,,16390.42
