,,,,Беларусь,,Брестская,,Витебская,,Гомельская,,Гродненская,,г. Минск,,Минская,,Могилевская
ПРОДОВОЛЬСТВЕННЫЕ ТОВАРЫ,,,,,,,,,,,,,,,,,,
ГОВЯДИНА  (кроме бескостного мяса),,,,68853.428468,,65439.76,,67640.23,,66799.66,,53855.7,,74151,,73950,,72010.4
ГОВЯДИНА БЕСКОСТНАЯ,,,,104075.136492,,93327.36,,98638.81999999999,,95671.89,,89307.66,,119222,,113549,,97374
СВИНИНА (кроме бескостного мяса),,,,61304.650452,,57387.96,,60552.78999999999,,60024.21,,55426.14,,63613,,65929,,62250.55
СВИНИНА БЕСКОСТНАЯ,,,,90058.78805599999,,85889.44,,96972.23999999999,,90757.56,,88885.92,,86093,,89916,,98007.95
ФАРШ МЯСНОЙ (без добавок),,,,70101.48216,,69020.12,,67231.28,,64490.64,,71899.62000000001,,78620,,64049,,66914.9
"КУРЫ (ЦЫПЛЯТА, ВКЛЮЧАЯ БРОЙЛЕРОВ)",,,,31307.950559999997,,30412.399999999998,,32028.239999999998,,31076.73,,30965.120000000003,,31816,,31415,,30775.4
ПОЛУФАБРИКАТЫ ИЗ МЯСА ПТИЦЫ,,,,42365.969412,,40336.36,,44109.759999999995,,44386.020000000004,,44081.78,,40627,,42781,,42277.5
СУБПРОДУКТЫ ИЗ ПТИЦЫ,,,,30024.787476,,27420.52,,28285.449999999997,,28379.21,,32397.960000000003,,33719,,26680,,30163.1
КОТЛЕТЫ МЯСНЫЕ (за 1 шт. весом 100 г),,,,5910.985795999999,,5784,,5228.29,,6113.45,,5771.460000000001,,6576,,5648,,5400.35
ПЕЛЬМЕНИ МЯСНЫЕ,,,,47031.486532,,44174.24,,40652.229999999996,,45262.06,,46522.78,,53908,,46318,,44022.25
"САЛО, ГРУДИНКА",,,,90408.14682399998,,77938.95999999999,,90451.16,,86929.5,,85501.52,,101042,,93936,,82853.1
КОЛБАСА ВАРЕНАЯ ВЫСШЕГО СОРТА,,,,59699.319156000005,,60668.48,,59948.17,,61329.16,,58015.94,,58599,,58978,,61770.2
КОЛБАСА ВАРЕНАЯ ПЕРВОГО СОРТА,,,,45268.026000000005,,46076.16,,42689.82,,41547.42,,41423.06,,49060,,47585,,43041.65
КОЛБАСА ВАРЕНАЯ ВТОРОГО СОРТА И БЕССОРТОВАЯ ,,,,34116.996568,,36846.72,,33637.369999999995,,31563.91,,34521.48,,35604,,32980,,32020.85
КОЛБАСА ПОЛУКОПЧЕНАЯ,,,,86884.300596,,85089.44,,82726.70999999999,,83602.42,,81115.36,,96453,,88484,,77250.25
КОЛБАСА СЫРОКОПЧЕНАЯ,,,,168209.40914,,152663.64,,174673.47999999998,,168622.7,,164632.12,,184836,,154832,,159517.2
"ПАШТЕТ, ЗЕЛЬЦ, САЛЬТИСОН",,,,31080.135172000002,,30087.559999999998,,31342.53,,28771.36,,23015.04,,33889,,36404,,28613.2
КОЛБАСА ЛИВЕРНАЯ И КРОВЯНАЯ,,,,19353.811975999997,,18556.96,,20703.489999999998,,23750.75,,16674.440000000002,,17429,,21312,,18010.5
